wagon_ID,wagon_construction,wagon_type,provider
'763003511902457',45.0,3.0,35
'763003512322457',45.0,3.0,35
'763003512572457',45.0,3.0,35
'763003512652457',45.0,3.0,35
'763003512732457',45.0,3.0,35
'763003513072457',45.0,3.0,35
'763003513232457',45.0,3.0,35
'763003513312457',45.0,3.0,35
'763003513492457',45.0,3.0,35
'763003513562457',45.0,3.0,35
'763003513802457',45.0,3.0,35
'763003513982457',45.0,3.0,35
'763003514142457',45.0,3.0,35
'763003514222457',45.0,3.0,35
'763003514302457',45.0,3.0,35
'763003514482457',45.0,3.0,35
'763003514632457',45.0,3.0,35
'763003514712457',45.0,3.0,35
'763003514972457',45.0,3.0,35
'763003515132457',45.0,3.0,35
'763003515542457',45.0,3.0,35
'763003515702457',45.0,3.0,35
'763003515882457',45.0,3.0,35
'763003515962457',45.0,3.0,35
'763003516122457',45.0,3.0,35
'763003516462457',45.0,3.0,35
'763003516612457',45.0,3.0,35
'763003516792457',45.0,3.0,35
'763003517372457',45.0,3.0,35
'763003517452457',45.0,3.0,35
'763003517602457',45.0,3.0,35
'763003517782457',45.0,3.0,35
'763003517862457',45.0,3.0,35
'763003518022457',45.0,3.0,35
'763003518102457',45.0,3.0,35
'763003518282457',45.0,3.0,35
'763003518362457',45.0,3.0,35
'763003518442457',45.0,3.0,35
'763003518772457',45.0,3.0,35
'763003518852457',45.0,3.0,35
'763003518932457',45.0,3.0,35
'763003519012457',45.0,3.0,35
'763003519192457',45.0,3.0,35
'763003519272457',45.0,3.0,35
'763003519432457',45.0,3.0,35
'763003519502457',45.0,3.0,35
'763003519682457',45.0,3.0,35
'763003519762457',45.0,3.0,35
'763003519842457',45.0,3.0,35
'763003519922457',45.0,3.0,35
'763003520082457',45.0,3.0,35
'763003520242457',45.0,3.0,35
'763003520402457',45.0,3.0,35
'763003520652457',45.0,3.0,35
'763003520992457',45.0,3.0,35
'763003521152457',45.0,3.0,35
'763003521312457',45.0,3.0,35
'763003521562457',45.0,3.0,35
'763003521722457',45.0,3.0,35
'763003521982457',45.0,3.0,35
'763003522222457',45.0,3.0,35
'763003522302457',45.0,3.0,35
'763003522632457',45.0,3.0,35
'763003522712457',45.0,3.0,35
'763003522972457',45.0,3.0,35
'763003523132457',45.0,3.0,35
'763003523392457',45.0,3.0,35
'763003523472457',45.0,3.0,35
'763003523542457',45.0,3.0,35
'763003523702457',45.0,3.0,35
'763003524792457',45.0,3.0,35
'763003524952457',45.0,3.0,35
'763003525032457',45.0,3.0,35
'763003525112457',45.0,3.0,35
'763003525292457',45.0,3.0,35
'763003525452457',45.0,3.0,35
'763003525522457',45.0,3.0,35
'763003525782457',45.0,3.0,35
'763003525862457',45.0,3.0,35
'763003525942457',45.0,3.0,35
'763003526022457',45.0,3.0,35
'763003526102457',45.0,3.0,35
'763003526512457',45.0,3.0,35
'763003526852457',45.0,3.0,35
'763003526932457',45.0,3.0,35
'763003527272457',45.0,3.0,35
'763003527352457',45.0,3.0,35
'763003527432457',45.0,3.0,35
'763003527502457',45.0,3.0,35
'763003527682457',45.0,3.0,35
'763003527762457',45.0,3.0,35
'763003528262457',45.0,3.0,35
'763003528422457',45.0,3.0,35
'763003528592457',45.0,3.0,35
'763003528832457',45.0,3.0,35
'763003528912457',45.0,3.0,35
'763003529092457',45.0,3.0,35
'763003529172457',45.0,3.0,35
'763003529252457',45.0,3.0,35
'763003529412457',45.0,3.0,35
'763003529662457',45.0,3.0,35
'763003530062457',45.0,3.0,35
'763003530302457',45.0,3.0,35
'763003530482457',45.0,3.0,35
'763003530552457',45.0,3.0,35
'763003530712457',45.0,3.0,35
'763003530892457',45.0,3.0,35
'763003531392457',45.0,3.0,35
'763003531702457',45.0,3.0,35
'763003531882457',45.0,3.0,35
'763003531962457',45.0,3.0,35
'763003532122457',45.0,3.0,35
'763003532462457',45.0,3.0,35
'763003532792457',45.0,3.0,35
'763003532952457',45.0,3.0,35
'763003533032457',45.0,3.0,35
'763003533112457',45.0,3.0,35
'763003533292457',45.0,3.0,35
'763003533372457',45.0,3.0,35
'763003533522457',45.0,3.0,35
'763003533782457',45.0,3.0,35
'763003533942457',45.0,3.0,35
'763003534512457',45.0,3.0,35
'763003534692457',45.0,3.0,35
'763003534772457',45.0,3.0,35
'763003534852457',45.0,3.0,35
'763003535012457',45.0,3.0,35
'763003535192457',45.0,3.0,35
'763003535272457',45.0,3.0,35
'763003535922457',45.0,3.0,35
'763003536182457',45.0,3.0,35
'763003536422457',45.0,3.0,35
'763003536592457',45.0,3.0,35
'763003536672457',45.0,3.0,35
'763003536752457',45.0,3.0,35
'763003536832457',45.0,3.0,35
'763003536912457',45.0,3.0,35
'763003537092457',45.0,3.0,35
'763003537172457',45.0,3.0,35
'763003537252457',45.0,3.0,35
'763003537332457',45.0,3.0,35
'763003537582457',45.0,3.0,35
'763003537902457',45.0,3.0,35
'763003538162457',45.0,3.0,35
'763003538402457',45.0,3.0,35
'763003538572457',45.0,3.0,35
'763003538652457',45.0,3.0,35
'763003538732457',45.0,3.0,35
'763003538812457',45.0,3.0,35
'763003539152457',45.0,3.0,35
'763003539232457',45.0,3.0,35
'763003539312457',45.0,3.0,35
'763003539492457',45.0,3.0,35
'763003539642457',45.0,3.0,35
'0039802457',45.0,3.0,0
'763003539982457',45.0,3.0,35
'763003540382457',45.0,3.0,35
'763003540462457',45.0,3.0,35
'763003540532457',45.0,3.0,35
'763003540612457',45.0,3.0,35
'763003540792457',45.0,3.0,35
'763003540952457',45.0,3.0,35
'763003541032457',45.0,3.0,35
'763003541292457',45.0,3.0,35
'763003541862457',45.0,3.0,35
'763003541942457',45.0,3.0,35
'763003542282457',45.0,3.0,35
'763003542362457',45.0,3.0,35
'763003542852457',45.0,3.0,35
'763003542932457',45.0,3.0,35
'763003543012457',45.0,3.0,35
'763003543272457',45.0,3.0,35
'763003543432457',45.0,3.0,35
'763003543682457',45.0,3.0,35
'763003543762457',45.0,3.0,35
'763003543842457',45.0,3.0,35
'763003543922457',45.0,3.0,35
'763003544182457',45.0,3.0,35
'763003544262457',45.0,3.0,35
'763003544422457',45.0,3.0,35
'763003544592457',45.0,3.0,35
'763003544672457',45.0,3.0,35
'763003544752457',45.0,3.0,35
'763003544912457',45.0,3.0,35
'763003545092457',45.0,3.0,35
'763003545252457',45.0,3.0,35
'763003545332457',45.0,3.0,35
'763003545412457',45.0,3.0,35
'763003545582457',45.0,3.0,35
'763003545822457',45.0,3.0,35
'763003546242457',45.0,3.0,35
'763003546572457',45.0,3.0,35
'763003546732457',45.0,3.0,35
'763003546992457',45.0,3.0,35
'763003547152457',45.0,3.0,35
'763003547492457',45.0,3.0,35
'763003547562457',45.0,3.0,35
'763003547722457',45.0,3.0,35
'763003547802457',45.0,3.0,35
'763003548142457',45.0,3.0,35
'763003548222457',45.0,3.0,35
'763003548302457',45.0,3.0,35
'763003548482457',45.0,3.0,35
'763003548552457',45.0,3.0,35
'763003548632457',45.0,3.0,35
'763003548712457',45.0,3.0,35
'763003548972457',45.0,3.0,35
'763003549052457',45.0,3.0,35
'763003549212457',45.0,3.0,35
'763003549472457',45.0,3.0,35
'763003549702457',45.0,3.0,35
'763003549882457',45.0,3.0,35
'763003550012457',45.0,3.0,35
'763003550192457',45.0,3.0,35
'763003550352457',45.0,3.0,35
'763003550432457',45.0,3.0,35
'763003550682457',45.0,3.0,35
'763003550762457',45.0,3.0,35
'763003550842457',45.0,3.0,35
'763003550922457',45.0,3.0,35
'763003551262457',45.0,3.0,35
'763003551342457',45.0,3.0,35
'763003551672457',45.0,3.0,35
'763003551832457',45.0,3.0,35
'763003552092457',45.0,3.0,35
'763003552172457',45.0,3.0,35
'763003552662457',45.0,3.0,35
'763003552902457',45.0,3.0,35
'763003553082457',45.0,3.0,35
'763003553242457',45.0,3.0,35
'763003553402457',45.0,3.0,35
'763003553572457',45.0,3.0,35
'763003553992457',45.0,3.0,35
'763003554072457',45.0,3.0,35
'763003554152457',45.0,3.0,35
'763003554562457',45.0,3.0,35
'763003554722457',45.0,3.0,35
'763003554802457',45.0,3.0,35
'763003554982457',45.0,3.0,35
'763003555062457',45.0,3.0,35
'763003555222457',45.0,3.0,35
'763003555482457',45.0,3.0,35
'763003555552457',45.0,3.0,35
'763003555632457',45.0,3.0,35
'763003555892457',45.0,3.0,35
'763003556052457',45.0,3.0,35
'763003556212457',45.0,3.0,35
'763003556392457',45.0,3.0,35
'763003556472457',45.0,3.0,35
'763003556622457',45.0,3.0,35
'763003556882457',45.0,3.0,35
'763003556962457',45.0,3.0,35
'763003557122457',45.0,3.0,35
'763003557532457',45.0,3.0,35
'763003557612457',45.0,3.0,35
'763003557872457',45.0,3.0,35
'763003557952457',45.0,3.0,35
'763003558032457',45.0,3.0,35
'763003558112457',45.0,3.0,35
'763003558292457',45.0,3.0,35
'763003558372457',45.0,3.0,35
'763003558522457',45.0,3.0,35
'763003558602457',45.0,3.0,35
'763003558782457',45.0,3.0,35
'763003558862457',45.0,3.0,35
'763003558942457',45.0,3.0,35
'763003559102457',45.0,3.0,35
'763003559282457',45.0,3.0,35
'763003559362457',45.0,3.0,35
'763003559512457',45.0,3.0,35
'763003559692457',45.0,3.0,35
'763003559772457',45.0,3.0,35
'763003559852457',45.0,3.0,35
'763003559932457',45.0,3.0,35
'763003560092457',45.0,3.0,35
'763003560172457',45.0,3.0,35
'763003560412457',45.0,3.0,35
'763003560582457',45.0,3.0,35
'763003560662457',45.0,3.0,35
'763003560742457',45.0,3.0,35
'763003561082457',45.0,3.0,35
'763003561162457',45.0,3.0,35
'763003561242457',45.0,3.0,35
'763003561322457',45.0,3.0,35
'763003561572457',45.0,3.0,35
'763003561812457',45.0,3.0,35
'763003561992457',45.0,3.0,35
'763003562232457',45.0,3.0,35
'763003562492457',45.0,3.0,35
'763003562562457',45.0,3.0,35
'763003562642457',45.0,3.0,35
'763003562722457',45.0,3.0,35
'763003562802457',45.0,3.0,35
'763003562982457',45.0,3.0,35
'763003563062457',45.0,3.0,35
'763003563222457',45.0,3.0,35
'763003563302457',45.0,3.0,35
'763003563482457',45.0,3.0,35
'763003563552457',45.0,3.0,35
'763003563712457',45.0,3.0,35
'763003564132457',45.0,3.0,35
'763003564392457',45.0,3.0,35
'763003564622457',45.0,3.0,35
'763003564882457',45.0,3.0,35
'763003565042457',45.0,3.0,35
'763003565122457',45.0,3.0,35
'763003565202457',45.0,3.0,35
'763003565382457',45.0,3.0,35
'763003565462457',45.0,3.0,35
'763003565612457',45.0,3.0,35
'763003565792457',45.0,3.0,35
'763003565872457',45.0,3.0,35
'763003565952457',45.0,3.0,35
'763003566032457',45.0,3.0,35
'763003566112457',45.0,3.0,35
'763003566292457',45.0,3.0,35
'763003566372457',45.0,3.0,35
'763003566522457',45.0,3.0,35
'763003566602457',45.0,3.0,35
'763003566862457',45.0,3.0,35
'763003567022457',45.0,3.0,35
'763003567102457',45.0,3.0,35
'763003567282457',45.0,3.0,35
'763003567362457',45.0,3.0,35
'763003567512457',45.0,3.0,35
'763003567692457',45.0,3.0,35
'763003567772457',45.0,3.0,35
'763003567852457',45.0,3.0,35
'763003568012457',45.0,3.0,35
'763003568272457',45.0,3.0,35
'763003568352457',45.0,3.0,35
'763003568432457',45.0,3.0,35
'763003568762457',45.0,3.0,35
'763003568922457',45.0,3.0,35
'763003569002457',45.0,3.0,35
'763003569182457',45.0,3.0,35
'763003569262457',45.0,3.0,35
'763003569342457',45.0,3.0,35
'763003569422457',45.0,3.0,35
'763003569592457',45.0,3.0,35
'763003569672457',45.0,3.0,35
'763003569832457',45.0,3.0,35
'763003569912457',45.0,3.0,35
'763003570072457',45.0,3.0,35
'763003570492457',45.0,3.0,35
'763003570562457',45.0,3.0,35
'763003570642457',45.0,3.0,35
'763003570722457',45.0,3.0,35
'763003570982457',45.0,3.0,35
'763003571142457',45.0,3.0,35
'763003571222457',45.0,3.0,35
'763003571552457',45.0,3.0,35
'763003571632457',45.0,3.0,35
'763003571712457',45.0,3.0,35
'763003571892457',45.0,3.0,35
'763003572052457',45.0,3.0,35
'763003572132457',45.0,3.0,35
'763003572472457',45.0,3.0,35
'763003572542457',45.0,3.0,35
'763003572882457',45.0,3.0,35
'763003572962457',45.0,3.0,35
'763003573042457',45.0,3.0,35
'763003573202457',45.0,3.0,35
'763003573382457',45.0,3.0,35
'763003573532457',45.0,3.0,35
'763003573872457',45.0,3.0,35
'763003574032457',45.0,3.0,35
'763003574292457',45.0,3.0,35
'763003574372457',45.0,3.0,35
'763003574522457',45.0,3.0,35
'763003574782457',45.0,3.0,35
'763003574942457',45.0,3.0,35
'763003575022457',45.0,3.0,35
'763003575362457',45.0,3.0,35
'763003575512457',45.0,3.0,35
'763003575692457',45.0,3.0,35
'763003575772457',45.0,3.0,35
'763003576012457',45.0,3.0,35
'763003576272457',45.0,3.0,35
'763003576502457',45.0,3.0,35
'763003576682457',45.0,3.0,35
'763003576762457',45.0,3.0,35
'763003576922457',45.0,3.0,35
'763003577422457',45.0,3.0,35
'763003577592457',45.0,3.0,35
'763003577672457',45.0,3.0,35
'763003577912457',45.0,3.0,35
'763003578092457',45.0,3.0,35
'763003578172457',45.0,3.0,35
'763003578412457',45.0,3.0,35
'763003578742457',45.0,3.0,35
'763003578822457',45.0,3.0,35
'763003578902457',45.0,3.0,35
'763003579082457',45.0,3.0,35
'763003579322457',45.0,3.0,35
'763003579402457',45.0,3.0,35
'763003579572457',45.0,3.0,35
'763003579652457',45.0,3.0,35
'763003579732457',45.0,3.0,35
'763003580212457',45.0,3.0,35
'763003580472457',45.0,3.0,35
'763003580542457',45.0,3.0,35
'763003580622457',45.0,3.0,35
'763003580702457',45.0,3.0,35
'763003580882457',45.0,3.0,35
'763003580962457',45.0,3.0,35
'763003581042457',45.0,3.0,35
'763003581202457',45.0,3.0,35
'763003581382457',45.0,3.0,35
'763003581612457',45.0,3.0,35
'763003581792457',45.0,3.0,35
'763003581872457',45.0,3.0,35
'763003581952457',45.0,3.0,35
'763003582032457',45.0,3.0,35
'763003582112457',45.0,3.0,35
'763003582292457',45.0,3.0,35
'763003582372457',45.0,3.0,35
'763003582452457',45.0,3.0,35
'763003582602457',45.0,3.0,35
'763003582782457',45.0,3.0,35
'763003582862457',45.0,3.0,35
'763003583022457',45.0,3.0,35
'763003583102457',45.0,3.0,35
'763003583362457',45.0,3.0,35
'763003583442457',45.0,3.0,35
'763003583692457',45.0,3.0,35
'763003583772457',45.0,3.0,35
'763003584192457',45.0,3.0,35
'763003584272457',45.0,3.0,35
'763003584352457',45.0,3.0,35
'763003584432457',45.0,3.0,35
'763003584762457',45.0,3.0,35
'763003584922457',45.0,3.0,35
'763003585002457',45.0,3.0,35
'763003585182457',45.0,3.0,35
'763003585262457',45.0,3.0,35
'763003585422457',45.0,3.0,35
'763003585592457',45.0,3.0,35
'763003585672457',45.0,3.0,35
'763003585752457',45.0,3.0,35
'763003585912457',45.0,3.0,35
'763003586172457',45.0,3.0,35
'763003586332457',45.0,3.0,35
'763003586662457',45.0,3.0,35
'763003587082457',45.0,3.0,35
'763003587162457',45.0,3.0,35
'763003587322457',45.0,3.0,35
'763003587652457',45.0,3.0,35
'763003587992457',45.0,3.0,35
'763003588072457',45.0,3.0,35
'763003588232457',45.0,3.0,35
'763003588492457',45.0,3.0,35
'763003588562457',45.0,3.0,35
'763003588642457',45.0,3.0,35
'763003588722457',45.0,3.0,35
'763003588982457',45.0,3.0,35
'763003589482457',45.0,3.0,35
'763003589552457',45.0,3.0,35
'763003589712457',45.0,3.0,35
'763003589972457',45.0,3.0,35
'763003590032457',45.0,3.0,35
'763003590112457',45.0,3.0,35
'763003590452457',45.0,3.0,35
'763003590522457',45.0,3.0,35
'763003590782457',45.0,3.0,35
'763003590862457',45.0,3.0,35
'763003591102457',45.0,3.0,35
'763003591362457',45.0,3.0,35
'763003591442457',45.0,3.0,35
'763003591692457',45.0,3.0,35
'763003591932457',45.0,3.0,35
'763003592272457',45.0,3.0,35
'763003592352457',45.0,3.0,35
'763003592432457',45.0,3.0,35
'763003592502457',45.0,3.0,35
'763003592762457',45.0,3.0,35
'763003592842457',45.0,3.0,35
'763003593262457',45.0,3.0,35
'763003593672457',45.0,3.0,35
'763003593832457',45.0,3.0,35
'763003594092457',45.0,3.0,35
'763003594332457',45.0,3.0,35
'763003594412457',45.0,3.0,35
'763003595402457',45.0,3.0,35
'763003595652457',45.0,3.0,35
'763003595812457',45.0,3.0,35
'763003595992457',45.0,3.0,35
'763003596072457',45.0,3.0,35
'763003596152457',45.0,3.0,35
'763003596312457',45.0,3.0,35
'763003596492457',45.0,3.0,35
'763003596562457',45.0,3.0,35
'763003596722457',45.0,3.0,35
'763003596802457',45.0,3.0,35
'763003597062457',45.0,3.0,35
'763003597142457',45.0,3.0,35
'763003597222457',45.0,3.0,35
'763003597302457',45.0,3.0,35
'763003597632457',45.0,3.0,35
'763003597712457',45.0,3.0,35
'763003597892457',45.0,3.0,35
'763003598132457',45.0,3.0,35
'763003598212457',45.0,3.0,35
'763003598542457',45.0,3.0,35
'763003598622457',45.0,3.0,35
'763003598702457',45.0,3.0,35
'763003598882457',45.0,3.0,35
'763003598962457',45.0,3.0,35
'763003599042457',45.0,3.0,35
'763003599122457',45.0,3.0,35
'763003599202457',45.0,3.0,35
'763003599382457',45.0,3.0,35
'763003599462457',45.0,3.0,35
'763003599532457',45.0,3.0,35
'763003599612457',45.0,3.0,35
'763003599792457',45.0,3.0,35
'763003599872457',45.0,3.0,35
'806603799952457',45.0,3.0,37
'763003500012458',45.0,3.0,35
'763003500192458',45.0,3.0,35
'763003500272458',45.0,3.0,35
'763003500352458',45.0,3.0,35
'763003500502458',45.0,3.0,35
'763003500682458',45.0,3.0,35
'697603200762458',45.0,3.0,32
'763003500842458',45.0,3.0,35
'763003500922458',45.0,3.0,35
'763003501002458',45.0,3.0,35
'763003501182458',45.0,3.0,35
'763003501262458',45.0,3.0,35
'763003501342458',45.0,3.0,35
'763003501422458',45.0,3.0,35
'763003501752458',45.0,3.0,35
'763003501832458',45.0,3.0,35
'763003501912458',45.0,3.0,35
'763003502092458',45.0,3.0,35
'763003502252458',45.0,3.0,35
'763003502332458',45.0,3.0,35
'763003502412458',45.0,3.0,35
'763003502582458',45.0,3.0,35
'763003502662458',45.0,3.0,35
'763003502742458',45.0,3.0,35
'763003502822458',45.0,3.0,35
'763003503082458',45.0,3.0,35
'763003503162458',45.0,3.0,35
'763003503242458',45.0,3.0,35
'763003503322458',45.0,3.0,35
'763003503402458',45.0,3.0,35
'763003503572458',45.0,3.0,35
'763003503732458',45.0,3.0,35
'763003503812458',45.0,3.0,35
'763003503992458',45.0,3.0,35
'763003504072458',45.0,3.0,35
'763003504152458',45.0,3.0,35
'763003504232458',45.0,3.0,35
'763003504312458',45.0,3.0,35
'763003504492458',45.0,3.0,35
'763003504562458',45.0,3.0,35
'763003504642458',45.0,3.0,35
'763003504722458',45.0,3.0,35
'763003504802458',45.0,3.0,35
'763003504982458',45.0,3.0,35
'763003505062458',45.0,3.0,35
'763003505142458',45.0,3.0,35
'763003505222458',45.0,3.0,35
'763003505302458',45.0,3.0,35
'763003505482458',45.0,3.0,35
'763003505552458',45.0,3.0,35
'763003505632458',45.0,3.0,35
'763003505892458',45.0,3.0,35
'763003505972458',45.0,3.0,35
'763003506132458',45.0,3.0,35
'763003506212458',45.0,3.0,35
'763003506472458',45.0,3.0,35
'763003506622458',45.0,3.0,35
'763003506882458',45.0,3.0,35
'763003506962458',45.0,3.0,35
'763003507042458',45.0,3.0,35
'763003507122458',45.0,3.0,35
'763003507202458',45.0,3.0,35
'763003507382458',45.0,3.0,35
'763003507462458',45.0,3.0,35
'763003507532458',45.0,3.0,35
'763003507612458',45.0,3.0,35
'763003507792458',45.0,3.0,35
'763003507872458',45.0,3.0,35
'763003507952458',45.0,3.0,35
'763003508032458',45.0,3.0,35
'763003508112458',45.0,3.0,35
'763003508292458',45.0,3.0,35
'763003508372458',45.0,3.0,35
'763003508452458',45.0,3.0,35
'763003508522458',45.0,3.0,35
'763003508602458',45.0,3.0,35
'763003508782458',45.0,3.0,35
'763003508862458',45.0,3.0,35
'763003508942458',45.0,3.0,35
'763003509022458',45.0,3.0,35
'763003509102458',45.0,3.0,35
'763003509282458',45.0,3.0,35
'763003509442458',45.0,3.0,35
'763003509512458',45.0,3.0,35
'763003509692458',45.0,3.0,35
'763003509772458',45.0,3.0,35
'763003509852458',45.0,3.0,35
'763003509932458',45.0,3.0,35
'763003510092458',45.0,3.0,35
'763003510252458',45.0,3.0,35
'763003510332458',45.0,3.0,35
'763003510412458',45.0,3.0,35
'763003510582458',45.0,3.0,35
'763003510662458',45.0,3.0,35
'763003510742458',45.0,3.0,35
'763003510822458',45.0,3.0,35
'763003510902458',45.0,3.0,35
'763003511082458',45.0,3.0,35
'763003511162458',45.0,3.0,35
'763003511242458',45.0,3.0,35
'763003511322458',45.0,3.0,35
'763003511402458',45.0,3.0,35
'763003511572458',45.0,3.0,35
'763003511652458',45.0,3.0,35
'763003511732458',45.0,3.0,35
'763003511812458',45.0,3.0,35
'763003511992458',45.0,3.0,35
'763003512072458',45.0,3.0,35
'763003512152458',45.0,3.0,35
'763003512232458',45.0,3.0,35
'763003512312458',45.0,3.0,35
'763003512492458',45.0,3.0,35
'763003512642458',45.0,3.0,35
'763003512722458',45.0,3.0,35
'763003512802458',45.0,3.0,35
'763003513062458',45.0,3.0,35
'763003513142458',45.0,3.0,35
'763003513222458',45.0,3.0,35
'763003513302458',45.0,3.0,35
'763003513482458',45.0,3.0,35
'763003513552458',45.0,3.0,35
'763003513632458',45.0,3.0,35
'763003513712458',45.0,3.0,35
'763003513892458',45.0,3.0,35
'763003513972458',45.0,3.0,35
'763003514052458',45.0,3.0,35
'763003514132458',45.0,3.0,35
'763003514212458',45.0,3.0,35
'763003514392458',45.0,3.0,35
'763003514472458',45.0,3.0,35
'763003514542458',45.0,3.0,35
'763003514622458',45.0,3.0,35
'763003514882458',45.0,3.0,35
'763003514962458',45.0,3.0,35
'763003515042458',45.0,3.0,35
'763003515122458',45.0,3.0,35
'763003515462458',45.0,3.0,35
'763003515532458',45.0,3.0,35
'763003515612458',45.0,3.0,35
'763003515792458',45.0,3.0,35
'763003515872458',45.0,3.0,35
'763003516032458',45.0,3.0,35
'763003516292458',45.0,3.0,35
'763003516522458',45.0,3.0,35
'763003516602458',45.0,3.0,35
'763003516782458',45.0,3.0,35
'763003516942458',45.0,3.0,35
'763003517282458',45.0,3.0,35
'763003517362458',45.0,3.0,35
'763003517442458',45.0,3.0,35
'763003517512458',45.0,3.0,35
'763003517692458',45.0,3.0,35
'763003517772458',45.0,3.0,35
'763003517932458',45.0,3.0,35
'763003518272458',45.0,3.0,35
'763003518352458',45.0,3.0,35
'763003518432458',45.0,3.0,35
'763003518502458',45.0,3.0,35
'763003518762458',45.0,3.0,35
'763003518842458',45.0,3.0,35
'763003518922458',45.0,3.0,35
'763003519262458',45.0,3.0,35
'763003519752458',45.0,3.0,35
'763003519912458',45.0,3.0,35
'763003520072458',45.0,3.0,35
'763003520492458',45.0,3.0,35
'763003520562458',45.0,3.0,35
'763003520642458',45.0,3.0,35
'763003520722458',45.0,3.0,35
'763003520802458',45.0,3.0,35
'763003520982458',45.0,3.0,35
'763003521062458',45.0,3.0,35
'763003521302458',45.0,3.0,35
'763003521632458',45.0,3.0,35
'763003521892458',45.0,3.0,35
'763003522542458',45.0,3.0,35
'763003522622458',45.0,3.0,35
'763003522882458',45.0,3.0,35
'763003523122458',45.0,3.0,35
'763003523202458',45.0,3.0,35
'763003523382458',45.0,3.0,35
'763003523462458',45.0,3.0,35
'763003523792458',45.0,3.0,35
'763003523872458',45.0,3.0,35
'763003524112458',45.0,3.0,35
'763003524292458',45.0,3.0,35
'763003524452458',45.0,3.0,35
'763003524602458',45.0,3.0,35
'763003524782458',45.0,3.0,35
'763003524862458',45.0,3.0,35
'763003524942458',45.0,3.0,35
'763003525102458',45.0,3.0,35
'763003525282458',45.0,3.0,35
'763003525362458',45.0,3.0,35
'763003525512458',45.0,3.0,35
'763003525772458',45.0,3.0,35
