wagon_ID,loading_state,loading_state_update,altitude,latitude,longitude,signal_quality_satellite,signal_quality_hdop,determination_position,GNSS_velocity,timestamp_measure_position,timestamp_transfer,movement_state,timestamp_measure_movement_state,timestamp_index,provider
'763003580452459',Leer,39 days 14:05:46,108.0,49.138011,9.196896,8.0,3.0,1,0.0,39 days 14:59:16.654000,39 days 14:59:32.743000,standing,39 days 14:59:16.654000,39 days 14:59:49,35
'763003514122459',Beladen,40 days 08:05:43,115.0,50.071433,8.66829,11.0,1.2,1,0.0,40 days 08:30:25.864000,40 days 08:30:44.196000,standing,40 days 08:30:25.864000,40 days 08:31:10,35
'864853522364273',Leer,42 days 23:46:55,492.0,48.337202,11.444662,11.0,1.4,1,0.0,43 days 12:05:13,43 days 12:05:59.118000,moving,43 days 12:05:13,43 days 12:06:15,35
'864853513884370',Beladen,41 days 23:16:03,58.0,44.406574,-0.962221,9.0,2.6,1,95.0,42 days 08:58:49.307000,42 days 08:59:42.055000,moving,42 days 08:58:49.307000,42 days 09:00:21,35
'903003559294367',Beladen,42 days 23:46:55,103.0,49.458139,8.51267,10.0,5.3,1,0.0,43 days 10:06:05.946000,43 days 10:06:18.852000,standing,43 days 10:06:05.946000,43 days 10:06:36,35
'763003559502458',Beladen,42 days 08:26:05,166.0,49.950516,9.775682,12.0,3.8,1,0.0,42 days 09:31:57,42 days 09:33:44.508000,moving,42 days 09:31:57,42 days 09:34:01,35
'2863003597486638',Leer,39 days 19:05:47,-8.0,52.489274,13.506833,12.0,5.1,1,43.0,39 days 20:07:31.296000,39 days 20:07:37.758000,moving,39 days 20:07:31.296000,39 days 20:07:46,35
'763003505262462',Beladen,41 days 14:23:38,508.0,48.200268,11.480422,10.0,1.7,1,0.0,41 days 23:47:56.041000,41 days 23:48:14.524000,standing,41 days 23:47:56.041000,41 days 23:48:30,35
'903003516144366',Beladen,37 days 23:16:01,118.0,46.510579,21.186653,8.0,5.9,1,64.0,38 days 18:12:30.267000,38 days 18:12:56.446000,moving,38 days 18:12:30.267000,38 days 18:13:12,35
'864853511984370',Beladen,44 days 05:03:29,91.0,46.558738,0.332949,8.0,4.2,1,49.0,44 days 15:18:18.314000,44 days 15:18:38.426000,moving,44 days 15:18:18.314000,44 days 15:18:45,35
'2863003504356643',Leer,43 days 23:46:50,11.0,53.527798,10.072054,9.0,3.2,1,67.0,44 days 01:41:10.330000,44 days 01:41:40.723000,moving,44 days 01:41:10.330000,44 days 01:41:49,35
'763003513902471',Beladen,43 days 23:46:50,83.0,49.02465,4.073185,10.0,4.1,1,95.0,44 days 19:10:04.031000,44 days 19:10:15.629000,moving,44 days 19:10:04.031000,44 days 19:10:22,35
'763003536512471',Beladen,40 days 11:26:18,251.0,49.433606,7.675301,12.0,1.9,1,0.0,40 days 21:21:59.662000,40 days 21:22:23.368000,standing,40 days 21:21:59.662000,40 days 21:22:43,35
'2863003551606635',Beladen,42 days 23:46:55,55.0,52.388187,9.973939,11.0,1.5,1,0.0,43 days 02:45:24.780000,43 days 02:45:22.899000,standing,43 days 02:45:24.780000,43 days 02:45:40,35
'1113003582244852',Beladen,43 days 23:46:50,282.0,50.2506,19.286054,9.0,1.0,1,0.0,44 days 16:31:34.973000,44 days 16:31:53.316000,standing,44 days 16:31:34.973000,44 days 16:32:01,35
'763003536192464',Beladen,43 days 08:26:01,2.0,53.400505,10.066069,9.0,1.9,1,0.0,43 days 16:09:28.349000,43 days 16:10:07.899000,standing,43 days 16:09:28.349000,43 days 16:10:40,35
'763003595222459',Leer,44 days 21:05:36,184.0,51.320416,9.453161,12.0,1.4,1,0.0,44 days 21:46:25.192000,44 days 21:47:05.910000,standing,44 days 21:46:25.192000,44 days 21:47:14,35
'2863003574286639',Beladen,43 days 23:46:50,327.0,49.011529,12.096733,9.0,1.6,1,0.0,44 days 16:57:09,44 days 17:59:19.973000,moving,44 days 16:57:09,44 days 17:59:24,35
'763003533792464',Beladen,43 days 23:16:06,261.0,43.295557,11.937949,10.0,2.0,1,89.0,44 days 18:13:22.281000,44 days 18:13:44.801000,moving,44 days 18:13:22.281000,44 days 18:13:59,35
'763003557942458',Beladen,40 days 23:15:52,252.0,50.870888,9.12656,12.0,4.4,1,90.0,41 days 11:11:24.310000,41 days 11:11:37.680000,moving,41 days 11:11:24.310000,41 days 11:12:01,35
'763003513182462',Beladen,40 days 23:15:52,51.0,52.992017,9.311506,10.0,2.6,1,100.0,41 days 17:05:28.312000,41 days 17:05:43.602000,moving,41 days 17:05:28.312000,41 days 17:05:54,35
'763003509292457',Leer,39 days 15:03:35,388.0,47.413516,9.64466,8.0,2.2,1,0.0,39 days 17:51:16.848000,39 days 17:51:37.789000,parking,39 days 17:51:16.848000,39 days 17:51:49,35
'763003565772459',Beladen,37 days 23:46:39,413.0,47.391403,8.170616,10.0,3.8,1,0.0,38 days 18:34:07.139000,38 days 18:34:24.696000,standing,38 days 18:34:07.139000,38 days 18:34:36,35
'763003558602457',Leer,39 days 08:43:42,455.0,47.171644,9.478394,9.0,1.8,1,0.0,39 days 10:10:46,39 days 10:12:03.321000,moving,39 days 10:10:46,39 days 10:12:11,35
'763003514462459',Beladen,39 days 23:16:02,479.0,47.164554,9.490358,9.0,2.5,1,14.0,40 days 08:53:05.052000,40 days 08:54:04.539000,moving,40 days 08:53:05.052000,40 days 08:54:18,35
'2863003564216638',Leer,41 days 22:45:46,302.0,49.416118,11.085868,11.0,1.8,1,0.0,42 days 00:10:50.764000,42 days 00:11:04.039000,standing,42 days 00:10:50.764000,42 days 00:14:04,35
'1113003567154852',Leer,43 days 12:05:41,36.0,52.369909,12.058002,13.0,1.4,1,88.0,43 days 12:38:50.303000,43 days 12:39:06.008000,moving,43 days 12:38:50.303000,43 days 12:39:23,35
'2863003575706643',Beladen,42 days 07:23:36,17.0,53.41494,11.240746,9.0,2.7,1,0.0,42 days 17:19:51.929000,42 days 17:20:02.383000,standing,42 days 17:19:51.929000,42 days 17:20:21,35
'903003545264367',Leer,37 days 23:46:39,191.0,48.076917,16.447834,10.0,1.5,1,100.0,38 days 06:15:00.061000,38 days 06:15:06.524000,,NaT,38 days 06:15:29,35
'903003576774367',Leer,38 days 23:46:44,98.0,46.673774,21.078737,10.0,1.6,1,0.0,39 days 08:04:29.840000,39 days 08:04:46.696000,standing,39 days 08:04:29.840000,39 days 08:05:07,35
'1498003511192468',Beladen,41 days 05:05:40,325.0,48.81722,12.767591,8.0,4.1,1,94.0,41 days 15:06:38.301000,41 days 15:06:39.071000,moving,41 days 15:06:38.301000,41 days 15:06:55,35
'2863003593426638',Beladen,43 days 23:46:50,59.0,52.375793,9.860243,9.0,2.0,1,0.0,44 days 00:37:54.361000,44 days 00:38:14.394000,standing,44 days 00:37:54.361000,44 days 00:38:20,35
'864853509744273',Beladen,42 days 11:43:38,6.0,43.356144,-1.780653,11.0,4.0,1,0.0,42 days 18:26:31.806000,42 days 18:26:47.477000,standing,42 days 18:26:31.806000,42 days 18:27:01,35
'2863003583716642',Beladen,43 days 23:46:50,340.0,49.418097,11.160233,8.0,3.2,1,0.0,44 days 15:03:34,44 days 15:04:30.051000,moving,44 days 15:03:34,44 days 15:04:38,35
'903003566624366',Leer,37 days 23:46:39,134.0,47.240497,19.605891,12.0,1.0,1,85.0,38 days 12:47:54.038000,38 days 12:48:13.711000,,NaT,38 days 12:48:51,35
'763003523072471',Beladen,42 days 09:05:48,99.0,52.148601,9.863425,8.0,1.6,1,53.0,42 days 13:47:18.279000,42 days 13:47:28.743000,moving,42 days 13:47:18.279000,42 days 13:47:57,35
'2863003562456640',Leer,44 days 17:25:40,453.0,48.831597,11.240743,10.0,2.3,1,71.0,44 days 22:01:11.235000,44 days 22:01:31.457000,moving,44 days 22:01:11.235000,44 days 22:01:40,35
'903003524134367',Leer,39 days 23:46:44,85.0,44.608736,22.732624,10.0,1.8,1,0.0,40 days 03:31:43.955000,40 days 03:32:03.024000,standing,40 days 03:31:43.955000,40 days 03:32:17,35
'2863003574336640',Beladen,43 days 23:46:50,263.0,50.454602,9.62071,10.0,2.3,1,82.0,44 days 06:26:05.065000,44 days 06:26:24.144000,moving,44 days 06:26:05.065000,44 days 06:26:31,35
'2863003568236640',Leer,44 days 07:05:36,181.0,50.419249,18.152653,10.0,2.9,1,17.0,44 days 18:42:00.320000,44 days 18:42:23.988000,moving,44 days 18:42:00.320000,44 days 18:42:32,35
'2863003556656643',Beladen,43 days 22:45:45,60.0,52.388789,9.974288,11.0,1.5,1,0.0,43 days 23:56:54.016000,44 days 00:16:19.004000,,NaT,44 days 00:16:35,35
'2863003540126638',Leer,42 days 10:26:05,36.0,52.215729,14.597212,9.0,1.0,1,0.0,42 days 16:27:26.263000,42 days 16:27:45.555000,parking,42 days 16:27:26.263000,42 days 16:28:11,35
'2863003566376638',Beladen,43 days 23:46:50,307.0,48.79472,12.832219,7.0,2.5,1,89.0,44 days 17:41:51.323000,44 days 17:42:23.629000,moving,44 days 17:41:51.323000,44 days 17:42:30,35
'763003509142462',Leer,43 days 01:05:46,95.0,49.452955,8.525794,11.0,2.4,1,0.0,43 days 01:34:19.998000,43 days 01:34:33.664000,parking,43 days 01:34:19.998000,43 days 01:34:51,35
'2863003518656640',Beladen,42 days 23:46:55,344.0,50.303571,9.641092,11.0,1.5,1,0.0,43 days 11:27:18.787000,43 days 11:29:08.961000,standing,43 days 11:27:18.787000,43 days 11:29:30,35
'763003567842458',Beladen,43 days 23:16:06,178.0,43.986306,11.135511,12.0,6.4,1,81.0,44 days 21:18:08.304000,44 days 21:18:37.957000,moving,44 days 21:18:08.304000,44 days 21:18:54,35
'903003534784367',Beladen,42 days 16:05:52,88.0,49.78604,8.473505,8.0,3.4,1,0.0,42 days 16:22:57,42 days 16:24:36.914000,moving,42 days 16:22:57,42 days 16:25:04,35
'763003558362458',Leer,39 days 23:46:44,466.0,47.171694,9.479012,12.0,2.4,1,0.0,40 days 09:30:04.354000,40 days 09:30:19.196000,standing,40 days 09:30:04.354000,40 days 09:30:36,35
'2863003575846639',Beladen,44 days 11:23:33,27.0,51.86298,6.164746,8.0,3.8,1,0.0,44 days 15:53:24,44 days 15:54:42.426000,moving,44 days 15:53:24,44 days 15:54:49,35
'903003519444367',Leer,39 days 19:05:47,80.0,49.458109,8.520725,12.0,8.6,1,0.0,39 days 21:27:57.387000,39 days 21:28:24.118000,parking,39 days 21:27:57.387000,39 days 21:28:32,35
'2863003515996643',Beladen,40 days 06:26:15,52.0,52.537829,13.444357,12.0,1.9,1,47.0,40 days 21:42:13.271000,40 days 21:42:27.743000,moving,40 days 21:42:13.271000,40 days 21:42:38,35
'1113003509514726',Beladen,42 days 05:05:48,346.0,49.408349,11.108901,13.0,2.6,1,0.0,42 days 12:17:05.223000,42 days 12:17:27.539000,parking,42 days 12:17:05.223000,42 days 12:17:42,35
'763003538662464',Beladen,43 days 14:05:39,135.0,47.717076,18.003679,8.0,2.0,1,0.0,43 days 15:23:53.178000,43 days 15:24:05.383000,standing,43 days 15:23:53.178000,43 days 15:24:22,35
'763003571212458',Beladen,40 days 23:15:52,-2.0,53.504151,9.910136,12.0,2.2,1,0.0,41 days 21:45:55,41 days 21:47:44.555000,moving,41 days 21:45:55,41 days 21:47:59,35
'1113003502663553',Beladen,41 days 23:46:47,448.0,46.725513,6.577782,9.0,1.7,1,80.0,42 days 06:40:30.299000,42 days 06:40:40.711000,moving,42 days 06:40:30.299000,42 days 06:40:56,35
'763003544252474',Beladen,43 days 14:05:39,78.0,52.237716,8.274022,8.0,3.3,1,0.0,43 days 15:10:23.338000,43 days 15:13:07.086000,standing,43 days 15:10:23.338000,43 days 15:13:28,35
'763003571222457',Beladen,43 days 10:23:36,414.0,47.202164,8.731816,10.0,1.6,1,91.0,43 days 23:45:14.325000,43 days 23:45:32.555000,moving,43 days 23:45:14.325000,43 days 23:45:49,35
'763003547962459',Leer,38 days 16:05:44,299.0,47.527489,7.667621,8.0,2.5,1,0.0,38 days 17:42:24,38 days 17:48:02.274000,moving,38 days 17:42:24,38 days 17:48:14,35
'903003555494367',Beladen,43 days 23:16:06,144.0,44.876647,22.384159,10.0,1.9,1,57.0,44 days 15:50:55.322000,44 days 15:51:18.082000,moving,44 days 15:50:55.322000,44 days 15:51:34,35
'763003578412457',Beladen,43 days 23:46:50,44.0,55.204459,9.301276,10.0,3.5,1,98.0,44 days 19:08:17.291000,44 days 19:08:37.488000,moving,44 days 19:08:17.291000,44 days 19:08:43,35
'1113003540280691',Leer,42 days 18:05:54,163.0,51.206912,10.000874,10.0,3.9,1,26.0,42 days 19:13:50.323000,42 days 19:13:55.086000,moving,42 days 19:13:50.323000,42 days 19:14:15,35
'763003524492462',Leer,38 days 23:15:58,159.0,48.804634,2.622641,8.0,4.1,1,55.0,39 days 15:15:19.316000,39 days 15:15:34.227000,moving,39 days 15:15:19.316000,39 days 15:15:44,35
'1113003526494852',Beladen,44 days 22:04:06,56.0,50.701183,7.174505,11.0,3.9,1,80.0,44 days 22:47:34.308000,44 days 22:47:54.004000,moving,44 days 22:47:34.308000,44 days 22:48:08,35
'763003540102459',Beladen,37 days 23:16:01,246.0,45.839737,8.999466,10.0,2.7,1,0.0,38 days 20:07:12.369000,38 days 20:07:29.696000,standing,38 days 20:07:12.369000,38 days 20:09:37,35
'903003519524366',Beladen,41 days 04:05:39,147.0,51.889553,12.434676,10.0,2.3,1,0.0,41 days 05:59:45,41 days 06:01:05.727000,moving,41 days 05:59:45,41 days 06:01:22,35
'2863003521456640',Leer,42 days 23:46:55,30.0,52.419449,9.464165,12.0,1.6,1,0.0,43 days 09:14:01.166000,43 days 09:14:10.383000,standing,43 days 09:14:01.166000,43 days 09:14:40,35
'903003515144367',Beladen,41 days 07:05:40,56.0,52.390353,9.596321,12.0,3.1,1,0.0,41 days 12:02:07.447000,41 days 12:02:20.368000,standing,41 days 12:02:07.447000,41 days 12:02:36,35
'1113003500753505',Leer,39 days 05:05:38,234.0,49.243207,6.849671,11.0,4.2,1,0.0,39 days 05:52:20,39 days 05:54:02.055000,moving,39 days 05:52:20,39 days 05:54:16,35
'2863003565866639',Leer,43 days 08:05:47,92.0,51.072095,17.079867,9.0,4.1,1,0.0,43 days 13:50:27.981000,43 days 13:50:36.039000,standing,43 days 13:50:27.981000,43 days 13:50:50,35
'1113003517893948',Beladen,42 days 23:46:55,469.0,50.071855,12.381058,10.0,2.6,1,0.0,43 days 08:37:10.127000,43 days 08:37:29.664000,parking,43 days 08:37:10.127000,43 days 08:37:47,35
'2863003589416643',Beladen,40 days 23:46:37,89.0,49.574302,8.350212,11.0,2.2,1,0.0,41 days 01:49:14.391000,41 days 01:49:26.868000,standing,41 days 01:49:14.391000,41 days 01:49:39,35
'763003510912457',Beladen,42 days 22:45:49,103.0,52.803823,10.273305,11.0,1.9,1,90.0,43 days 00:10:25.315000,43 days 00:11:29.758000,moving,43 days 00:10:25.315000,43 days 00:13:21,35
'763003578822457',Leer,40 days 03:05:42,459.0,47.187071,9.527974,8.0,3.3,1,92.0,40 days 14:17:34.004000,40 days 14:18:08.868000,,NaT,40 days 14:18:44,35
'763003542812469',Beladen,43 days 23:46:50,60.0,48.95074,3.124207,9.0,5.6,1,78.0,44 days 18:40:00.033000,44 days 18:40:13.066000,moving,44 days 18:40:00.033000,44 days 18:40:28,35
'864853519564273',Beladen,43 days 23:16:06,70.0,43.776536,4.385828,8.0,4.1,1,96.0,44 days 17:09:56.326000,44 days 17:10:40.738000,moving,44 days 17:09:56.326000,44 days 17:10:49,35
'763003549522459',Leer,41 days 11:05:48,106.0,49.454844,8.524432,11.0,4.9,1,0.0,41 days 11:34:36.708000,41 days 11:34:57.977000,standing,41 days 11:34:36.708000,41 days 11:35:11,35
'2863003579156639',Beladen,42 days 02:05:44,175.0,51.310696,14.77898,11.0,2.7,1,0.0,42 days 01:33:39.832000,42 days 02:28:02.039000,standing,42 days 01:33:39.832000,42 days 02:28:26,35
'763003530992471',Beladen,40 days 03:25:54,227.0,50.828225,8.966081,9.0,2.9,1,99.0,40 days 07:19:35.324000,40 days 07:19:59.711000,moving,40 days 07:19:35.324000,40 days 07:20:09,35
'2863003559246640',Leer,42 days 23:46:55,320.0,50.579312,9.697864,12.0,3.2,1,101.0,43 days 00:54:39.320000,43 days 00:54:47.211000,moving,43 days 00:54:39.320000,43 days 00:55:04,35
'2863003513716639',Beladen,38 days 07:25:50,44.0,52.626911,13.432703,13.0,1.8,1,0.0,38 days 21:23:08.449000,38 days 21:23:33.680000,standing,38 days 21:23:08.449000,38 days 21:23:41,35
'2863003550916639',Leer,43 days 02:48:19.206000,35.0,52.117799,14.652183,8.0,1.9,1,84.0,43 days 07:12:33.299000,43 days 07:12:50.399000,moving,43 days 07:12:33.299000,43 days 07:13:25,35
'903003585684367',Leer,38 days 23:15:58,127.0,44.30095,23.851523,11.0,1.2,1,0.0,39 days 12:54:49.683000,39 days 12:55:05.164000,standing,39 days 12:54:49.683000,39 days 12:55:22,35
'2863003560856635',Leer,41 days 23:46:47,189.0,51.291117,15.209894,12.0,1.8,1,0.0,42 days 00:59:05,42 days 00:59:52.680000,moving,42 days 00:59:05,42 days 01:00:21,35
'2863003541556635',Beladen,40 days 08:05:43,131.0,51.343243,14.614569,10.0,2.6,1,0.0,40 days 09:06:56,40 days 09:07:39.336000,moving,40 days 09:06:56,40 days 09:08:14,35
'2863003506396639',Leer,42 days 08:05:46,102.0,51.214748,16.177816,10.0,1.5,1,0.0,42 days 13:32:37,42 days 13:33:24.305000,moving,42 days 13:32:37,42 days 13:33:40,35
'1113003503153505',Leer,38 days 19:05:49,532.0,48.199038,11.483089,10.0,2.4,1,0.0,38 days 19:53:14,38 days 19:55:17.008000,moving,38 days 19:53:14,38 days 19:55:28,35
'1113003564403948',Leer,40 days 23:46:37,245.0,49.426041,7.981144,10.0,1.6,1,0.0,41 days 03:03:14,41 days 03:05:14.024000,moving,41 days 03:03:14,41 days 03:05:44,35
'2863003579806639',Leer,44 days 07:05:36,148.0,51.286052,15.031603,12.0,3.7,1,0.0,44 days 09:23:47.316000,44 days 09:24:29.566000,standing,44 days 09:23:47.316000,44 days 09:24:38,35
'1113003525513546',Beladen,39 days 11:05:50,199.0,45.614258,9.222544,11.0,2.7,1,0.0,39 days 12:09:47.437000,39 days 12:10:07.352000,standing,39 days 12:09:47.437000,39 days 12:10:20,35
'2863003568986640',Beladen,43 days 23:46:50,321.0,49.01143,12.097997,8.0,3.1,1,0.0,44 days 16:49:07.838000,44 days 16:49:15.879000,parking,44 days 16:49:07.838000,44 days 16:49:20,35
'763003537692462',Beladen,43 days 23:16:06,472.0,46.846843,8.641458,10.0,3.6,1,0.0,44 days 19:11:21,44 days 19:11:54.957000,moving,44 days 19:11:21,44 days 19:12:14,35
'864853512974370',Beladen,41 days 23:16:03,70.0,43.90639,-0.921465,9.0,1.5,1,39.0,42 days 08:19:31.248000,42 days 08:19:52.680000,moving,42 days 08:19:31.248000,42 days 08:20:10,35
'864853502814370',Beladen,37 days 23:46:39,260.0,41.739323,-1.174334,10.0,1.5,1,0.0,38 days 19:43:53.735000,38 days 19:44:10.227000,standing,38 days 19:43:53.735000,38 days 19:44:18,35
'2863003568126635',Leer,42 days 09:05:48,135.0,52.251675,10.567106,9.0,3.2,1,0.0,42 days 13:32:09.424000,42 days 13:32:20.852000,standing,42 days 13:32:09.424000,42 days 13:32:34,35
'2863003583966635',Beladen,40 days 23:46:37,249.0,48.26488,14.323083,12.0,1.2,1,0.0,41 days 09:42:39.894000,41 days 09:43:18.274000,parking,41 days 09:42:39.894000,41 days 09:43:38,35
'763003517382464',Beladen,41 days 08:52:05,442.0,48.853829,11.190593,10.0,1.8,1,48.0,41 days 17:09:49.322000,41 days 17:13:11.711000,moving,41 days 17:09:49.322000,41 days 17:13:41,35
'2863003549816635',Beladen,39 days 07:26:16,29.0,52.537173,13.14883,10.0,2.4,1,0.0,39 days 18:51:57,39 days 18:54:05.711000,moving,39 days 18:51:57,39 days 18:54:15,35
'903003513164367',Beladen,39 days 01:05:38,32.0,51.223431,6.704083,9.0,2.5,1,0.0,39 days 14:36:06.434000,39 days 14:36:22.305000,standing,39 days 14:36:06.434000,39 days 14:36:43,35
'903003598804366',Beladen,43 days 23:46:50,104.0,49.436818,8.570856,9.0,2.0,1,0.0,44 days 17:12:52.553000,44 days 17:13:15.676000,standing,44 days 17:12:52.553000,44 days 17:13:29,35
'1113003557094852',Beladen,42 days 17:26:12,101.0,49.441696,8.562677,10.0,1.9,1,25.0,42 days 19:20:43.305000,42 days 19:20:58.618000,moving,42 days 19:20:43.305000,42 days 19:21:18,35
'2863003531196640',Beladen,42 days 23:46:55,218.0,51.437012,9.441885,10.0,1.2,1,0.0,43 days 07:54:13,43 days 07:54:51.321000,moving,43 days 07:54:13,43 days 07:55:18,35
